Full Name,Born,Batting Style,Bowling Style,Carrer,Age
සෝමචන්ද්ර දින සිල්වා වෙනුවෙන් දණ්ඩිනියා,"ජුනි 11, 1942, ගාල්ල",දකුණු අත පිතිකරණය,ලෙග්බ්රේක් ගොග්ලි,"ශ්රී ලංකාවේ හොඳම කකුල් කරුවෙකු වන සෝමචන්ද්ර ද සිල්වාගෙන් එකක් වූයේ ශ්රී ලංකාවට පූර්ණ පරීක්ෂණ තත්ත්වයක් ලබා දීමෙන් පසුව බොහෝ ක්රීඩකයින් විශ්රාම යාමට නියමිත අවධියක සිටියදීය. ඔහු ශ්රී ලංකා කණ්ඩායමේ සවිකෘත පැවති අතර ලොව පුරා ක්රිකට් රවුම් ලින්කන්ෂයර් සහ ෂ්රොප්ෂයර් සඳහා කුඩා කවුන්ටි ක්රිකට් ක්රීඩා කර ඇත. 70 දශකය පුරාම ඔහුගේ ගුවන් ගමන් සහ හොඳින් වෙස්වළාගෙන වැරදි ලෙස වැරදි ලෙස වෙස්වළාගත් වැරදි ලෙස වැරැද්දක් කර ඇත. ශ්රී ලංකාවේ සමාරම්භක පරීක්ෂණයේදී ඔහු සිය පළමු ටෙස්ට් කඩුල්ල 38 ක් සඳහා ලකුණු 38 ක් සහ 0 කට දැවී ගියේය. ද සිල්වා පහත දැක්වෙන සංචාරයේදී කඩුලු 17 ක් දවා ගනිමින්, පසුගිය කඩුලු 3 ක් තුළ කඩුලු 17 ක් ද, ශ්රී ලංකාව විසින් ෆයිසලාබාද් හි ලකුණු 59 කට කඩුලු 5 කට ලකුණු 5 ක් ලබා ගත්හ. 1982-83 නවසීලන්තයේ සංචාරය මුලදී දුලෙප් මෙන්ඩිස් තුවාල වූ විට, ශ්රී ලංකාව ටෙස්ට් තරග දෙකකින් ශ්රී ලංකාවට ප්රමුඛත්වය දෙන ලදී. පිතිහරඹයත් සමඟ ඔහු කපිතාන්වරයා ලෙස අර්ධ ශතක දෙකක් සෑදීමට වඩා වැඩි යමක් විය. ක්රීඩාව තුළ ඔහු සිය ප්රසිද්ධියේ නඩත්තු කළේ ශ්රී ලංකාව පුහුණු කිරීමෙනි. පසුව ඔහු ශ්රී ලංකා ජනාධිපති මහින්ද රාජපක්ෂ මහතා විසින් 2007 දෙසැම්බර් මාසයේදී ශ්රී ලංකා ජනාධිපති මහින්ද රාජපක්ෂ මහතා විසින් 2007 දෙසැම්බර් මාසයේදී ශ්රී ලංකා ජනාධිපති මහින්ද රාජපක්ෂ මහතා විසින් රටේ යුද්ධයට ගොදුරු වූ උතුරු ප්රදේශවල ක්රීඩාව ප්රවර්ධනය කිරීම සඳහා පත් කරන ලදී. 2009 දී ද සිල්වා මහතා හතක හත් දෙනෙකුගෙන් යුත් අතුරු කමිටුවක සභාපති ලෙස ශ්රී ලංකා ක්රිකට් ක්රීඩාවේ සභාපති ලෙස ක්රීඩා අමාත්ය ගාමිනි ලොකුගේ මහතා විසින් පත් කරන ලදී.",අවු. 79 දවස්. 126
එඩ්වඩ් රංජිත් ප්රනාන්දු,"පෙබරවාරි 22, 1944, කොළඹ",දකුණු අත පිතිකරණය,පන්දු යැවීම නොවේ,එඩ්වඩ් රංජිත් ප්රනාන්දු 1960 ක් වන අතර ඔහු හොඳම කඩුලු රකින්නා අතර වන විට ප්රමුඛ පෙළේ පාසල් ක්රිකට් ක්රීඩකයෙකි.1964 දී ඔහු වර්ෂයේ පාසල් ක්රිකට් ක්රීඩකයා ලෙස සම්මාන ලැබීය.,අවු. 77 දවස්. 236
පීටර් ඩේවිඩ් ඩේවිඩ්,"ජුනි 26, 1945, කොළඹ",වම් අත පන්දු,දකුණු අත මාධ්යය,"1981 දී ඔහු කුඩා රට ශූරතාවලියේදී බර්ක්ෂයර් සඳහා ක්රීඩා 4 ක් ක්රීඩා කළේය - අවාසනාවකට මෙන්, වැඩ සහ පවුල් බැඳීම් හේතුවෙන් තවදුරටත් පෙනී සිටිය නොහැකි වූයේ වයස අවුරුදු 39 දී ඔහු තරගයෙන් සම්පූර්ණයෙන්ම විශ්රාම ගොස් ඇති බවයි..",අවු. 76 දවස්. 111
ලලිත් වසන්ත සිල්වා කලුසුල්ලුමුමා,"ජුනි 25, 1949, කොළඹ",දකුණු අත පිතිකරණය,දකුණු අත ඕෆ්බ්රීක්,ලලිත් කලුප්පාමා ශ්රී ලංකාව ටෙස්ට් තත්ත්වය ලබා දෙන විට දේශීය මට්ටමින් ඉටු කරන ලද දම්පූර්ණ දරුවෙකි.පිතිහරඹය සමඟ පහළ අනුපිළිවෙලකට ද හැකියාව ඇති ඔහු තම ගෘහස්ථ ස්වරූපය ජාත්යන්තර තලයට මාරු කිරීමට අපොහොසත් විය.එංගලන්තයට එරෙහිව ශ්රී ලංකාවේ සමාරම්භක ටෙස්ට් තරගයේදී ඔහු සිල්වස් යන දෙඅජ්යය වන ඩී.එස්. සහ අජිත් යන ඩි ඩි.ෆයිසලාබාද් හි දෙවන ටෙස්ට් තරගාවලිය සඳහා ඔහු නැවත පාකිස්තානයට සංචාරය කරන ලද පාකිස්තානයට පිවිසීම නැවතත් ඔහු ද සිල්වාගේ පන්දු යැවීම තරගාවලියේදී යටපත් කළේය.ඔහු 1982-83 දී දකුණු අප්රිකාවේ දකුණු අප්රිකාවේ සංචාරයට එක්වන ලෙස තෝරා ගැනීමේ තවත් නියෝජිත ගෞරව සම්බාධක අවසන් විය.පසුව ඔහු ජාතික තේරීම් කාරකයෙකු බවට පත්ව 2005 මැයි මාසයේදී 2005 මැයි මාසයේදී තේරීම් කමිටුව දෙසට ගමන් කළේය.,අවු. 72 දවස්. 112
ලුවී රොහාන් දුලීප් මෙන්ඩිස්,"අගෝස්තු 25, 1952, මොරටුවා",දකුණු අත පිතිකරණය,දකුණු අත මාධ්යය,"ඕනෑම මට්ටමක ප්රහාර එල්ල කිරීමට හැකියාව ඇති ශක්තිමත්, නොසන්සුන් පිතිකරුවෙකුට මනෝභාවය ඔහුව ගෙන ගිය විට, ශ්රී ලංකාවේ මුල් දිනවල ටෙස්ට් රූගත කිරීමේ රටක් ලෙස මෙන්ඩිස් ක්රීඩා කළේය. 1972 දී ශ්රී ලංකාව වෙනුවෙන් ශ්රී ලංකාව වෙනුවෙන් මුලින්ම ක්රීඩා කළ මෙන්ඩිස් 30 ක් වන නමුත් ඔවුන් පළමු ටෙස්ට් තරගයට යන විට 30 ක් පමණ ආරම්භ වූ අතර, ඔවුන්ගේ තෙවැනි ටෙස්ට් පරීක්ෂණයෙන් පැත්තෙන් කපන්න බරක් තිබියදීත් ඉක්මනින් ඔහුගේ පාද සොයා ගන්නා ලදී. 1982 සිට 83 හැදී වැඩීම සඳහා ඔහු ඉන්දියාවට එරෙහිව ඉනිම දෙකෙහිම 105 ට පහර දුන් අතර, වසර දෙකක සිට වයස අවුරුදු දෙකකට පසුව, 111 සහ 94 ක් සමඟ එංගලන්තයට එරෙහිව. ඉන්දියාව 1985-86 දී ලකුණු 310 ක් රැස් කළේය. පාකිස්තානයට එරෙහිව සිය සියය පාකිස්තානයට පිළිපැදීමෙන් පසු ශීත කාලය ඔහුගේ අවසන් පරීක්ෂණ 10 තුළ පනස්කිරි දෙකක් පමණක් ලකුණු ලබා ගත්තේය. ඔහු වෙනුවට රන්ජන් මඩුගල් විසින් 1988 දී එංගලන්තයේ සංචාරය සඳහා නායකයා ලෙස පත් කරන ලද අතර එහිදී ඔහු ලෝඩ්ස් හි අවසන් ටෙස්ට් තරගයේදී 56 ක් අත්සන් කළේය. ඔහු ශ්රී ලංකාවේ ලෝක කුසලානය සාර්ථකව පැමිණෙමින් සිටියදී ඔහු මහජන අවධාණ්ඩනයේ රැඳී සිටියේය.",අවු. 69 දවස්. 51
ඇන්ටනි රැල්ෆ් මැරිනොන් ඔපතා,"අගෝස්තු 05, 1947, කොළඹ",දකුණු අත පිතිකරණය,දකුණු අත මාධ්යය,1971 දී ඔහු මුලින්ම ලංකාව වෙනුවෙන් ක්රීඩා කළ අතර 1975 සහ 1979 දී එංගලන්තයේ ලෝක කුසලාන තරගාවලියේදී ශ්රී ලංකා කණ්ඩායම් කුසලානට ක්රීඩා කළේය. පසුව 1979 දී එක් කන්නයක් සඳහා ඔහු එක් කන්නයකට ක්රීඩා කළ අතර ඔහු ඕලන්දයේ පුහුණුකරු තනතුරට ඉදිරිපත් වියකණ්ඩායම.ඔහු සිය විද්යාලයේ ක්රිකට් කණ්ඩායම වෙනුවෙන් ක්රීඩා කර 1977 දක්වා ගුවන් හමුදා ක්රිකට් කණ්ඩායම වෙනුවෙන් ක්රීඩා කළේය,අවු. 73 දවස්. 38
හේමාල් ශ්රී මේදවාන් පියරිස්,"පෙබරවාරි 16, 1946, ලංකාවේ",වම් අත පන්දු,දකුණු අත වේගවත් මාධ්යය,"ඔහු කර්මාන්තයේ සහ ශාස්ත්රාලීය රසායන විද්යාව ඉගැන්වීම, රසායන විද්යාව ඉගැන්වීම සහ පොලිමර් පිළිබඳ විශේෂ izing ය. 2018 සැප්තැම්බර් 2018 දී ශ්රී ලංකා ක්රිකට් විසින් උපමා කරන ලද හිටපු ශ්රී ලංකා ක්රිකට් ක්රීඩකයින් 49 දෙනාගෙන් කෙනෙකි",අවු. 75 දවස්. 241
අනුර නන්දන රණසිංහ,"ඔක්තෝබර් 13, 1956, කළුතර",දකුණු අත පිතිකරණය,"වම් අත මධ්යම, මන්දගාමී වම් අත ඕතඩොක්ස්",1975 දී බටහිර ඉන්දීය කොදෙව් කොල කොඳු ඇට පෙළේ විය යුත්තේ 1975 ලෝක කුසලාන තරගාවලියේදී පාසැල් සිසුවෙකු සිය ජාත්යන්තර මංගල්යයක් බවට පත් කළේය. රණසිංහ ශ්රී ලාංකිකයින් සඳහා තරග තුනම ක්රීඩා කළේය. 1981-82 දී පාකිස්තානයේ ශ්රී ලංකාවේ සමාරම්භක ටෙස්ට් චාරිකාව සඳහා ඔහුගේ ටෙස්ට් තරගය අංක 7 ට පන්දුව ලකුණු 6 ක් සහ 5 පිතිකරණය සමඟ පොරබදමින් සිටියේය පළමු ඉනිම. ඔහුගේ දෙවන හා අවසාන පරීක්ෂණය පසුව ඉන්දියාවට එරෙහිව පැමිණියේය. ලුහුබැඳ ගිය 7 දෙනෙකු සඳහා ඉන්දියාව 135 ක් ලෙස ඉන්දියාව ලකුණු 135 ක් ලෙස වසා දැමූ බැවින් විශිෂ්ට ජයග්රහණයක් උදුරා ගැනීමට පාහේ ඉඩ දී ඇති හෙයින්. ඔහු අඛණ්ඩව ශ්රී ලාංකික කණ්ඩායමේ ප්රධාන ක්රීඩකයෙකු ලෙස කටයුතු කිරීමට අපේක්ෂා කළ නමුත් 1982-83 දී දකුණු අප්රිකාවේ කුප්රකට ශ්රී ලාංකික කැරලිකරුවෙකු සමඟ එක්වීමට ඔහු ජීවිතක්ෂයට පත්වීමට උත්සාහ කරමින් සිටියේය. එය 1989 දී නැවත සකස් කළ විට තවත් සෘතු කිහිපයක් සඳහා සිය ක්ලබ් වෘත්තිය නැවත ආරම්භ කළ අතර පසුව එය පුහුණු කිරීම සඳහා ගියේය. 1998 දී ඔහුගේ 42 වන උපන්දිනයට දින හතරකට පෙර ඔහු හදිසියේම හදිසියේ මිය ගියේය.,අවු. 42 දවස්. 27
අනුර පූන්සර් බණ්ඩා ටෙනෙකූන්,"ඔක්තෝබර් 29, 1946, අනුරාධපුර",දකුණු අත පිතිකරණය,මන්දගාමී වම් අත ඕතඩොක්ස්,අනුර ටෙනෙකූන් ශ්රී ලංකා පැවරුමේ නිත්ය සාමාජිකයෙකු වූ අතර ඔවුන් පරීක්ෂණ තත්ත්වය අත්කර ගැනීමට පෙර වසර කිහිපයක නිත්ය සාමාජිකයෙකු වූ අතර ඔවුන්ගේ විශිෂ්ට පිතිකරුවෙකු ලෙස පුළුල් ලෙස සැලකේ.ඔහු ද නායකත්වය දැරීය.ඔහුගේ එකම නිරාවරණය වූයේ 1975 සහ 1979 ලෝක කුසලාන තුළදී ය.2000 සිට 2003 දක්වා ඔහු ශ්රී ලංකා මණ්ඩලයේ ප්රධාන විධායක නිලධාරියා විය.,අවු. 74 දවස්. 351
මයිකල් හියු තිසෙරා,"මාර්තු 23, 1939, කොළඹ",දකුණු අත පිතිකරණය,ලෙග්බ්රේක්,ඔහු සිය පළමු පන්තියේ දෙක දෙක සිය පළමු පන්තියේ ශතවර්ෂ දෙක ලංකාව සඳහා නිල නොවන ටෙස්ට් තරගවලදී කළේය.පළමුවැන්න ඉන්දියාවේ දෙවන නිල නොවන ටෙස්ට් තරගයේදී ඉන්දියාවේ දෙවන නිල නොවන ටෙස්ට් තරගයේදී ඔහු දෙවන ඉනිමේදී ලකුණු 122 ක් රැස් කරමින් ස්ටැන්ලි ජයසිංහ සමඟ සිව්වන කඩුල්ල සඳහා 224 ක් එක් කළේය.,අවු. 82 දවස්. 206
බණ්ඩා බන්ඩං,"මාර්තු 01, 1953, රේම්බර්ස්",දකුණු අත පිතිකරණය,දකුණු අත මාධ්යය,"ශ්රී ලංකාව ප්රමුඛ පෙළේ ටෙස්ට් රූගත කිරීමේ රටක් බවට පත්වූ විට බන්දුල වර්නට ශ්රී ලංකාවේ ප්රමුඛ පෙළේ ගෞරවයක් තිබුණි.ශක්තිමත් තාක්ෂණයක් සහිත ආරම්භක පිතිකරුවෙකු, වර්නපුර ද දක්ෂ මධ්යම වේග පන්දු යවන්නාකි.ශ්රී ලංකාවේ සමාරම්භක පරීක්ෂණයෙන් 38 දෙනෙකුගෙන් යුත් ඉහළම ලකුණු 38 ක් ලබා ගනිමින් ඔහුගේ ටෙස්ට් තරග හතරේ පන්දුවට පහර දීම ගැන හැඟීමක් ඇති කිරීමට ඔහු අසමත් විය.ඔහුගේ පන්දු යැවීම එක්දින ආකෘතියට වඩාත් effective ලදායී විය.ශ්රී ලංකාවේ ආරම්භක වර්ෂවල ශ්රී ලංකාවේ ප්රමුඛ පෙළේ දුෂ්කරතා සම්බන්ධයෙන් චෝදනා ලැබූ වර්නපුර ප්රශංසනීය රැකියාවක් කළේය.කෙසේ වෙතත්, 1982-83 දී දකුණු අප්රිකාවේ කැරලිකාර කණ්ඩායම සමඟ සංචාරය කිරීමට ඔහු තීරණය කළ විට, ඔහුට ශ්රී ලංකා ක්රිකට් ක්රීඩාවෙන් ජීවිත තහනමක් ලබා දෙන ලදී.",අවු. 68 දවස්. 228
සුනිල් රම්සේ ද සිල්වා වෙට්ටිමුනි,"1949 පෙබරවාරි 02, කොළඹ",දකුණු අත පිතිකරණය,දකුණු අත මාධ්යය,"සුනිල් වෙට්ටිමූනි, හිටපු ශ්රී ලංකා ක්රිකට් ක්රීඩකයෙකි.",අවු. 72 දවස්. 255
දේවා ලෝක්ෂ් ස්ටැන්ලි ද සිල්වා,"නොවැම්බර් 17, 1956, අම්බලංගොඩ",දකුණු අත පිතිකරණය,දකුණු අත වේගවත් මාධ්යය,ඔහු සිය එක්දින තරගයට නවසීලන්තයට එරෙහිව නොටින්හැම්හි ට්රෙන්ට් පාලමෙහි ආරම්භ කළේය.පැරණි ට්රැෆර්ඩ් හි පැවති 1979 දී ඉන්දියාව පුරා වාර්තා වූ ශ්රී ලංකාවේ ප්රථම එක්දින ජයග්රහණයේ ද සිල්වා වැදගත් කාර්යභාරයක් ඉටු කළේය.,අවු. 23 දවස්. 147
